i,direction,s2_in_window,bos_type,macro_align,macro_tag,new_struct_at_macro,fvg_in_path,stop_type,visit_count,dest_align_score,hit_dest,hit_bos,hit_vwap,hit_ib,hit_new_struct,hit_stop,first_hit,bh,ev_dest,ev_bos,ev_vwap,ev_ib,ev_new_struct,ev_split_dest_bos,ev_split_dest_ns,hit_r1,hit_r2,hit_r3,ev_1r,ev_2r,ev_3r,stop_dist_atr,r_dest,r_bos
146,SHORT,True,REVERSAL,False,none,False,True,STRUCTURE,1,1,True,True,True,True,True,True,bos,62,15.0,7.138294493746797,4.845998227633747,7.804749435232719,7.138294493746797,11.0691472468734,11.0691472468734,True,True,True,1.0,2.0,3.0,0.14491025763483711,27.700470722676346,7.138294493746797
147,SHORT,True,REVERSAL,False,none,False,False,STRUCTURE,1,1,True,True,True,True,True,True,bos,61,15.0,5.180403019549533,3.65966267049397,5.672539978937868,5.180403019549533,10.090201509774767,10.090201509774767,True,True,True,1.0,2.0,3.0,0.20043102683717215,20.3791454502273,5.180403019549533
174,SHORT,True,REVERSAL,True,PWL_bos,False,True,STRUCTURE,1,1,True,False,True,False,False,True,dest,9,0.12175517786021833,-1.0,7.091667340353427,-1.0,-1.0,-0.4391224110698908,-0.4391224110698908,False,False,False,-1.0,-1.0,-1.0,1.1068002056473865,0.12175517786021833,1.706132052718192
175,SHORT,True,REVERSAL,True,PWL_bos,False,True,STRUCTURE,1,2,False,False,True,False,False,True,,8,-1.0,-1.0,6.872912965605552,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,1.2538308028017353,0.2871954474318384,1.6265980125836332
176,SHORT,True,REVERSAL,True,PWL_bos,False,True,STRUCTURE,1,2,False,False,True,False,False,True,,7,-1.0,-1.0,9.061641890072394,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,1.0357802977975636,1.0451129915157442,2.6277399373487262
177,SHORT,True,REVERSAL,True,PWL_bos,False,True,STRUCTURE,1,2,False,False,True,False,False,True,,6,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,True,False,False,1.0,-1.0,-1.0,0.5963858050789735,3.1283066615907242,5.545315532463351
178,SHORT,True,REVERSAL,True,PWL_bos,False,True,STRUCTURE,1,2,False,False,True,False,False,True,,5,-1.0,-1.0,9.908594451615638,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,1.0987049653959753,1.8499390886532574,3.076611704600714
179,SHORT,True,REVERSAL,True,PWL_bos,False,True,STRUCTURE,1,1,False,False,True,False,False,True,,4,-1.0,-1.0,9.728048086508933,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,1.0788190463982377,2.107522345484389,3.0464826045845714
180,SHORT,True,REVERSAL,True,PWL_bos,False,True,FVG,1,2,False,False,True,False,False,True,,2,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,True,True,False,1.0,2.0,-1.0,0.1331213460258275,23.16310509127171,29.12089063996936
181,SHORT,True,REVERSAL,True,PWL_bos,False,False,FVG,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.24241185888091393,14.066167017166944,16.164522139043626
182,SHORT,True,REVERSAL,True,PWL_bos,False,False,FVG,1,1,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.5463611078715246,6.677674207136303,7.066709703376456
300,SHORT,True,REVERSAL,True,PWL_bos,False,True,ATR_FALLBACK,1,1,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.3537455871370329,5.482629658753595,4.36267313477254
686,SHORT,True,CONTINUATION,False,none,False,False,STRUCTURE,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.18254857530702884,15.852863041990009,2.581997453560752
687,SHORT,True,CONTINUATION,False,none,False,True,STRUCTURE,1,2,True,True,True,True,True,True,bos,17,15.0,5.9920491776773295,6.3549766511625725,11.673951603474531,5.9920491776773295,10.496024588838665,10.496024588838665,True,True,True,1.0,2.0,3.0,0.09222670132682445,31.831200214768334,5.9920491776773295
694,SHORT,True,REVERSAL,True,PDL_bos,False,True,STRUCTURE,1,1,False,False,True,False,False,True,,8,-1.0,-1.0,1.163530654312741,,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.6868043112716097,1.8170419316643165,0.6068383958386803
696,SHORT,True,REVERSAL,True,PDL_bos,False,True,STRUCTURE,1,1,False,False,True,False,False,True,,6,-1.0,-1.0,1.2187919753108536,,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.8783414631463077,2.045579155278501,0.7099144050068362
698,SHORT,True,REVERSAL,True,PDL_bos,False,True,STRUCTURE,1,1,False,False,True,False,False,True,,4,-1.0,-1.0,1.326137555791015,,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.6511103660175552,3.2875757790907745,1.4162664302612298
699,SHORT,True,REVERSAL,True,PDL_bos,False,True,STRUCTURE,1,1,False,False,True,False,False,True,,3,-1.0,-1.0,1.25939153927827,,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.9697200049259512,2.158006068773922,0.7843839003997933
