bos_len,fib_618,fib_786,min_align,require_s2,n,stop_rate,tp1_dest,tp1_bos,ev_dest,ev_bos,ev_split,ev_new_struct,ev_best,best_exit,fvg_stop_pct
14,0.618,0.9,2,True,32,0.96875,0.15625,0.125,0.8173200111812026,-0.23223706056457183,0.29254147530831537,-0.23223706056457183,0.8173200111812026,ev_dest,0.28125
5,0.5,0.786,0,False,51,0.9607843137254902,0.058823529411764705,0.37254901960784315,-0.22470718445715765,0.7361196272393655,-0.40263411534864435,0.7361196272393655,0.7361196272393655,ev_bos,0.27450980392156865
5,0.5,0.85,0,False,66,0.9696969696969697,0.045454545454545456,0.4696969696969697,-0.4009100970805309,0.6761859000504883,-0.5414044631964796,0.6761859000504883,0.6761859000504883,ev_bos,0.3333333333333333
14,0.618,0.9,0,True,35,0.9714285714285714,0.14285714285714285,0.17142857142857143,0.661549724508528,-0.1749053461266111,0.18175220599617406,-0.1749053461266111,0.661549724508528,ev_dest,0.3142857142857143
10,0.618,0.9,3,False,38,1.0,0.15789473684210525,0.21052631578947367,0.5800528291049503,0.20526367918867602,0.22965643730940002,0.20526367918867602,0.5800528291049503,ev_dest,0.3157894736842105
14,0.618,0.9,3,False,36,1.0,0.1388888888888889,0.2222222222222222,0.5572691325151439,0.3847218072778665,0.2223503240327321,0.3847218072778665,0.5572691325151439,ev_dest,0.2777777777777778
5,0.5,0.9,0,False,82,0.975609756097561,0.07317073170731707,0.5365853658536586,-0.31966208866780604,0.5491299664321757,-0.5072269108910376,0.5491299664321757,0.5491299664321757,ev_bos,0.36585365853658536
5,0.618,0.85,0,False,44,0.9772727272727273,0.022727272727272728,0.45454545454545453,-0.8513720166905308,0.5154037616934272,-0.8990881744025961,0.5154037616934272,0.5154037616934272,ev_bos,0.4090909090909091
5,0.618,0.9,0,False,60,0.9833333333333333,0.06666666666666667,0.5333333333333333,-0.32612660598153437,0.3931821350412545,-0.5951647563177876,0.3931821350412545,0.4,ev_3r,0.43333333333333335
14,0.618,0.9,2,False,82,0.9512195121951219,0.12195121951219512,0.18292682926829268,0.38906079342616223,0.08256696031265591,0.09326573217308508,0.08256696031265591,0.38906079342616223,ev_dest,0.32926829268292684
14,0.5,0.85,3,False,33,0.9393939393939394,0.12121212121212122,0.2727272727272727,-0.1880462878730549,0.3882819278652889,-0.2676672331836361,0.3882819278652889,0.3882819278652889,ev_bos,0.42424242424242425
10,0.618,0.9,2,False,63,0.9841269841269841,0.12698412698412698,0.20634920634920634,0.2851669025331884,-0.10414690106446228,-0.05144383281205993,-0.10414690106446228,0.2851669025331884,ev_dest,0.38095238095238093
7,0.618,0.786,0,False,40,0.95,0.025,0.275,-0.7591878705015435,0.23273578682657714,-0.8313730931137713,0.23273578682657714,0.23273578682657714,ev_bos,0.4
5,0.618,0.9,2,False,34,1.0,0.11764705882352941,0.47058823529411764,0.17154128356199816,-0.07710566008385242,-0.3032319229137429,-0.07710566008385242,0.17647058823529413,ev_3r,0.29411764705882354
14,0.5,0.9,3,False,45,0.9111111111111111,0.15555555555555556,0.28888888888888886,-0.20689154567858745,0.15179668075807795,-0.31651506740972385,0.15179668075807795,0.15179668075807795,ev_bos,0.3333333333333333
7,0.618,0.9,0,False,81,0.9753086419753086,0.04938271604938271,0.4444444444444444,-0.7265642971658441,0.09708748935381815,-0.8197752888973351,0.09708748935381815,0.09708748935381815,ev_bos,0.48148148148148145
7,0.618,0.85,0,False,52,0.9615384615384616,0.038461538461538464,0.3269230769230769,-0.7931876854269523,0.09665685525548803,-0.8595008872234757,0.09665685525548803,0.09665685525548803,ev_bos,0.46153846153846156
5,0.5,0.9,2,False,44,0.9772727272727273,0.11363636363636363,0.4772727272727273,-0.10937025615363855,-0.07535738704475056,-0.4589228793878426,-0.07535738704475056,0.09090909090909091,ev_3r,0.29545454545454547
14,0.618,0.9,0,False,110,0.9636363636363636,0.1,0.2545454545454545,0.07605521410335479,0.07584390270933405,-0.15075034985864935,0.07584390270933405,0.07605521410335479,ev_dest,0.32727272727272727
7,0.5,0.786,0,False,65,0.9538461538461539,0.03076923076923077,0.23076923076923078,-0.605654074154796,-0.01914028770925404,-0.7508388280207409,-0.01914028770925404,-0.01914028770925404,ev_bos,0.24615384615384617
